date: 2014-05-20 18:38:36.456
argv: E:\Program Files\nodejs\node.exe C:\Users\XadillaX\AppData\Roaming\npm\node_modules\hexo\bin\hexo server
os: Windows_NT 6.1.7601 win32 x64
version:
  hexo: 2.5.6
  http_parser: 1.0
  node: 0.10.28
  v8: 3.14.5.9
  ares: 1.9.0-DEV
  uv: 0.10.27
  zlib: 1.2.3
  modules: 11
  openssl: 1.0.1g
---

[debug] 18:38:36.362 Processed: layout/tag.ejs
[debug] 18:38:36.362 Processed: layout/tags.ejs
[debug] 18:38:36.362 Processed: layout/_partial/comment.ejs
[debug] 18:38:36.362 Processed: layout/_partial/footer.ejs
[debug] 18:38:36.362 Processed: layout/_partial/header.ejs
[error] 18:38:36.430 { rawMessage: 'Malformed inline YAML string ([ 1.jpeg, 2.jpeg, 3.jpeg, 4.jpeg, 5.jpeg, 6.jpeg, img/iPad_Photo_20140328181354FGPM.JPG, img/iPad_Photo_20140328181218SLUY.JPG).',
  parsedLine: 10,
  snippet: 'background: [ 1.jpeg, 2.jpeg, 3.jpeg, 4.jpeg, 5.jpeg, 6.jpeg, img/iPad_Photo_20140328181354FGPM.JPG, img/iPad_Photo_20140328181218SLUY.JPG',
  parsedFile: null,
  message: 'Process failed: _config.yml',
  name: 'HexoError',
  stack: undefined }
